subject,my_mac,data_type,data_value,local_time
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044537
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044598
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044699
MATT,6C:B2:FD:CE:2D:F0,deg_c,21.00,1683044818
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683044818
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044773
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044835
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044896
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683044957
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045017
MATT,6C:B2:FD:CE:2D:F0,deg_c,22.00,1683045118
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683045118
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045077
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045137
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045285
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045346
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.00,1683045418
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683045418
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045406
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045467
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045527
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045587
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045653
MATT,6C:B2:FD:CE:2D:F0,deg_c,22.25,1683045718
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683045718
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045717
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045779
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683045839
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.75,1683046018
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.85,1683046018
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683046318
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683046318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683046532
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683046318
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683048346
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683049284
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683049399
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683049454
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683049484
MATT,6C:B2:FD:CE:2D:F0,deg_c,20.00,1683049618
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683049618
MATT,6C:B2:FD:CE:2D:F0,conn,0.00,1683049618
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683049801
MATT,6C:B2:FD:CE:2D:F0,deg_c,21.00,1683049918
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683049918
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683049861
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683049942
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050016
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050077
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683050218
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683050218
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050159
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050220
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050290
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050449
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.25,1683050518
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683050518
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050509
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050573
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050633
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050693
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050754
MATT,6C:B2:FD:CE:2D:F0,deg_c,22.00,1683050818
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683050818
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050814
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050874
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050934
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683050995
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.00,1683051118
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683051118
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051062
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051124
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051185
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051250
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051313
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683051418
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683051418
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051402
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051463
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051531
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051591
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051651
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683051718
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683051718
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051714
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051790
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051853
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051913
MATT,6C:B2:FD:CE:2D:F0,deg_c,22.00,1683052018
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683052018
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683051973
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052034
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052094
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052162
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052252
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683052318
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683052318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052313
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052383
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052519
MATT,6C:B2:FD:CE:2D:F0,deg_c,26.50,1683052618
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683052618
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052601
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052664
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052727
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052788
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052848
MATT,6C:B2:FD:CE:2D:F0,deg_c,28.00,1683052918
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683052918
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683052913
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053002
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053065
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053125
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683053218
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683053218
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053233
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053310
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053386
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053446
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683053518
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683053518
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053506
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053581
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053643
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053704
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683053818
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.83,1683053818
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053767
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053829
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053892
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683053952
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.00,1683054118
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683054118
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.75,1683054418
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.83,1683054418
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683054500
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683054581
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.50,1683054718
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683054718
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683054663
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683054770
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683054836
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683054896
MATT,6C:B2:FD:CE:2D:F0,deg_c,23.75,1683055018
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683055018
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683054971
MATT,6C:B2:FD:CE:2D:F0,deg_c,26.00,1683055318
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683055318
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683055321
MATT,6C:B2:FD:CE:2D:F0,deg_c,28.25,1683055618
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683055618
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683055569
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683055649
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683055709
MATT,6C:B2:FD:CE:2D:F0,deg_c,29.50,1683055918
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683055918
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683055930
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056060
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056156
MATT,6C:B2:FD:CE:2D:F0,deg_c,28.00,1683056218
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683056218
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056217
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056279
MATT,6C:B2:FD:CE:2D:F0,xl,0.00,1683056400
MATT,6C:B2:FD:CE:2D:F0,deg_c,24.00,1683056518
MATT,6C:B2:FD:CE:2D:F0,vbatt,3.84,1683056518
